Year,Avg_Trackers_per_Site
2013-2014,0.9878254112161637
2014-2015,1.0054397098821397
2015-2016,0.9892069248370245
2016-2017,1.0471873246125285
2017-2018,1.1754522298493286
2018-2019,1.264948409100721
2019-2020,1.4283555670681691
2020-2021,1.5822648188921988
2021-2022,1.642878729007469
2022-2023,1.6892026076069593
2023-2024,1.7164875016189614
